id,city,postal_code,district,province,price,subtype,state_construction,living_area,terrace_area,garden_area,rooms,bedrooms,bathrooms,livingroom_surface,kitchen_surface,facades,has_garden,kitchen,furnished,fireplace,swimmingpool,has_terrace,has_attic,has_basement,construction_year,epc,heating,area_total
11285680,Passendale,8980,Ieper,West Flanders,299000,HOUSE,GOOD,198,,,,3,1,21,22,2,0,1,0,0,0,0,1,0,2006,B,GAS,265
11354002,Chapelle-lez-herlaimont,7160,Charleroi,Hainaut,310000,HOUSE,AS_NEW,135,30,500,7,2,1,24,15,1,1,1,1,1,0,1,1,1,,,FUELOIL,639
11354001,Frasnes-lez-buissenal,7911,Ath,Hainaut,575000,COUNTRY_COTTAGE,,217,,,,2,1,,24,4,0,1,0,0,0,1,0,1,,A,,2754
11354000,Bierbeek,3360,Leuven,Flemish Brabant,989000,HOUSE,JUST_RENOVATED,363,40,,,6,2,,,4,0,1,0,0,1,1,1,0,1880,C,GAS,1700
11353999,Schilde,2970,Antwerp,Antwerp,539000,BUNGALOW,AS_NEW,,38,350,,3,1,20,16,4,1,1,0,0,1,1,1,0,1983,C,GAS,767
11353998,Ronse,9600,Oudenaarde,East Flanders,795000,MANSION,AS_NEW,428,,,,5,2,,21,4,0,1,0,0,0,1,0,1,1927,C,GAS,1919
11353994,Péronnes-lez-antoing,7640,Tournai,Hainaut,280000,APARTMENT_BLOCK,GOOD,,,,,5,1,,,4,0,1,0,0,0,0,0,0,2014,A,GAS,640
11353993,Binche,7130,Thuin,Hainaut,165000,HOUSE,GOOD,,,,,3,1,,,2,0,0,0,0,0,0,1,1,,C,FUELOIL,
11353990,Bruxelles,1020,Brussels,Brussels,379000,HOUSE,TO_RENOVATE,125,,245,,3,1,30,,2,1,0,0,0,0,0,1,1,,G,GAS,305
11353984,Boom,2850,Antwerp,Antwerp,239900,HOUSE,GOOD,84,1,1,,2,1,,,2,1,1,0,0,0,1,0,0,,F,PELLET,195
11353979,Erquelinnes,6560,Thuin,Hainaut,349000,VILLA,,,,,,3,1,20,11,4,0,1,0,0,0,0,0,1,1981,D,FUELOIL,2584
11353971,Saint-josse-ten-noode,1210,Brussels,Brussels,399000,APARTMENT_BLOCK,,210,,,,,,,,,0,,0,0,0,0,0,1,,,,
11353968,Leuven,3001,Leuven,Flemish Brabant,685000,HOUSE,AS_NEW,197,,,,4,1,,,3,0,,0,0,1,0,0,0,,B,,387
11353946,Iddergem,9472,Aalst,East Flanders,395000,HOUSE,GOOD,199,50,500,,3,1,,,3,1,1,0,0,0,1,0,0,1918,,GAS,940
11353945,Aalst (herdersem),9300,Aalst,East Flanders,370000,HOUSE,,145,,,,3,1,47,14,2,0,0,0,0,0,0,0,0,,B,GAS,176
11353942,Waha,6900,Marche-en-Famenne,Luxembourg,175000,HOUSE,TO_RENOVATE,202,,600,,3,1,15,,4,1,,0,0,0,0,1,1,,G,FUELOIL,801
11353941,Lasne,1380,Nivelles,Walloon Brabant,1575000,HOUSE,AS_NEW,350,70,1800,,5,4,50,21,4,1,1,0,0,1,1,0,1,2010,C,GAS,1957
11353938,Namur,5000,Namur,Namur,439000,HOUSE,,150,40,1587,,4,1,73,,4,1,,0,0,0,1,0,0,1978,B,FUELOIL,
11353937,Loyers,5101,Namur,Namur,439000,HOUSE,,150,40,1587,,4,1,73,,4,1,,0,0,0,1,0,0,1978,B,FUELOIL,
11353936,Lasne,1380,Nivelles,Walloon Brabant,699000,HOUSE,TO_BE_DONE_UP,298,75,2500,,5,1,50,,4,1,1,0,1,1,1,1,0,1968,D,FUELOIL,2500
11353922,Solre-sur sambre,6560,Thuin,Hainaut,215000,HOUSE,JUST_RENOVATED,,8,,,4,1,,,2,0,1,0,0,0,1,0,1,,C,GAS,
11353920,Rhode-saint-genèse,1640,Halle-Vilvoorde,Flemish Brabant,635000,HOUSE,AS_NEW,195,8,650,,3,2,51,11,3,1,1,0,0,0,1,0,1,1930,B,,768
11353915,Houthalen-helchteren,3530,Maaseik,Limburg,520000,VILLA,GOOD,312,,,,4,2,,,4,0,1,0,0,0,1,0,1,1996,C,FUELOIL,1174
11353914,Verviers ensival,4800,Verviers,Liège,260000,HOUSE,TO_BE_DONE_UP,173,45,270,,3,1,26,13,3,1,1,0,0,0,1,0,0,,B,,363
11353913,Wetteren,9230,Dendermonde,East Flanders,354000,BUNGALOW,,181,40,300,,2,1,,14,4,1,1,0,1,0,1,1,0,1983,F,ELECTRIC,672
11353912,Verviers,4800,Verviers,Liège,265000,APARTMENT_BLOCK,TO_RENOVATE,313,14,,,4,2,19,8,2,0,0,0,0,0,1,0,1,,E,GAS,
11353911,Mechelen,2800,Mechelen,Antwerp,525000,HOUSE,GOOD,238,,,,4,2,,,2,0,1,0,0,0,1,1,0,1981,C,GAS,163
11353903,Brasschaat,2930,Antwerp,Antwerp,1235000,VILLA,,310,,,,5,1,,,4,0,,0,0,0,0,0,1,2013,A,,
11353902,Jodoigne,1370,Nivelles,Walloon Brabant,195000,HOUSE,GOOD,102,,,,2,1,32,,2,0,1,0,0,0,0,0,0,1900,E,ELECTRIC,
